player_id,year,yards,tds,att,comp,playoff_games,playoff_wins,pb_games,max_wins
AikmTr00,1989,1749,9,293,155,0,0,0,11
AikmTr00,1990,4328,20,692,381,0,0,0,11
AikmTr00,1991,7082,31,1055,618,0,0,1,11
AikmTr00,1992,10527,54,1528,920,3,3,2,11
AikmTr00,1993,13627,69,1920,1191,6,6,3,11
AikmTr00,1994,16303,82,2281,1424,8,7,4,11
AikmTr00,1995,19607,98,2713,1704,11,10,5,11
AikmTr00,1996,22733,110,3178,2000,13,11,6,11
AikmTr00,1997,26016,129,3696,2292,13,11,6,11
AikmTr00,1998,28346,141,4011,2479,14,11,6,11
AikmTr00,1999,31310,158,4453,2742,15,11,6,11
AikmTr00,2000,32942,165,4715,2898,15,11,6,11
AlleJo02,2018,2074,10,320,169,0,0,0,3
AlleJo02,2019,5163,30,781,440,1,0,0,3
AlleJo02,2020,9707,67,1353,836,4,2,1,3
AlleJo02,2021,14114,103,1999,1245,6,3,2,3
AndeKe00,1971,777,5,131,72,0,0,0,2
AndeKe00,1972,2695,12,432,243,0,0,0,2
AndeKe00,1973,5123,30,761,422,1,0,0,2
AndeKe00,1974,7790,48,1089,635,1,0,0,2
AndeKe00,1975,10959,69,1466,863,2,0,1,2
AndeKe00,1976,13326,88,1804,1042,2,0,2,2
AndeKe00,1977,15471,99,2127,1208,2,0,2,2
AndeKe00,1978,17690,109,2446,1381,2,0,2,2
AndeKe00,1979,20030,125,2785,1570,2,0,2,2
AndeKe00,1980,21808,131,3060,1736,2,0,2,2
AndeKe00,1981,25562,160,3539,2036,5,2,3,2
AndeKe00,1982,28057,172,3848,2254,6,2,4,2
AndeKe00,1983,30390,184,4145,2452,6,2,4,2
AndeKe00,1984,32497,194,4420,2627,6,2,4,2
AndeKe00,1985,32667,196,4452,2643,6,2,4,2
AndeKe00,1986,32838,197,4475,2654,6,2,4,2
BartSt00,1975,1662,13,255,115,0,0,0,1
BartSt00,1976,2339,15,375,172,0,0,0,1
BartSt00,1977,3135,20,511,236,0,0,0,1
BartSt00,1978,5624,30,880,423,2,1,0,1
BartSt00,1979,8129,47,1260,627,2,1,0,1
BartSt00,1980,11673,78,1723,884,3,1,1,1
BartSt00,1981,15502,108,2256,1181,3,1,2,1
BartSt00,1982,17407,116,2518,1347,4,1,2,1
BartSt00,1983,20574,138,2950,1621,4,1,2,1
BartSt00,1984,22732,149,3219,1802,4,1,2,1
BartSt00,1985,23470,154,3330,1871,4,1,2,1
BartSt00,1986,24124,156,3456,1932,4,1,2,1
BeueSt00,1988,1643,8,238,105,0,0,0,1
BeueSt00,1989,3320,21,455,213,0,0,0,1
BeueSt00,1990,3320,21,455,213,0,0,0,1
BeueSt00,1991,4229,26,592,281,2,1,0,1
BeueSt00,1992,4381,26,610,293,2,1,0,1
BeueSt00,1993,7545,44,1028,551,2,1,0,1
BeueSt00,1994,9090,49,1283,681,2,1,0,1
BeueSt00,1995,10042,53,1425,752,2,1,0,1
BeueSt00,1996,10921,61,1548,821,2,1,0,1
BeueSt00,1997,11953,67,1701,910,2,1,0,1
